SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
1,E02000001,City of London 001,8,56,14.8,4
2,E02000002,Barking and Dagenham 001,89,355,34.575,1
3,E02000003,Barking and Dagenham 002,119,397,24.88333333,1
4,E02000004,Barking and Dagenham 003,68,210,23.95,0
5,E02000005,Barking and Dagenham 004,119,457,30.94,1
6,E02000007,Barking and Dagenham 006,150,479,36.5,1
7,E02000008,Barking and Dagenham 007,185,622,34.8,1
8,E02000009,Barking and Dagenham 008,141,550,36.2,1
9,E02000010,Barking and Dagenham 009,112,431,34.66,0
10,E02000011,Barking and Dagenham 010,83,264,25.5,1
11,E02000012,Barking and Dagenham 011,130,435,20.6,1
12,E02000013,Barking and Dagenham 012,123,478,35.98,0
13,E02000014,Barking and Dagenham 013,158,466,36.7,1
14,E02000015,Barking and Dagenham 014,89,370,38.8,1
15,E02000016,Barking and Dagenham 015,121,450,34.075,1
16,E02000017,Barking and Dagenham 016,88,320,27.46,1
17,E02000018,Barking and Dagenham 017,135,467,36.26,1
18,E02000019,Barking and Dagenham 018,133,459,32.14,1
19,E02000020,Barking and Dagenham 019,162,562,32.9,1
20,E02000021,Barking and Dagenham 020,128,468,32.1,1
21,E02000022,Barking and Dagenham 021,162,447,38.6,1
22,E02000023,Barking and Dagenham 022,147,416,39.55,0
23,E02000024,Barnet 001,43,282,8.816666667,1
24,E02000025,Barnet 002,54,237,16.28,1
25,E02000026,Barnet 003,30,184,10.875,1
26,E02000027,Barnet 004,82,364,22.36666667,0
27,E02000028,Barnet 005,26,190,12.625,1
28,E02000029,Barnet 006,56,357,15.66,1
29,E02000030,Barnet 007,42,224,13.11666667,0
30,E02000031,Barnet 008,26,162,9,1
31,E02000032,Barnet 009,50,328,8.34,1
32,E02000033,Barnet 010,50,287,18.04,0
33,E02000034,Barnet 011,49,279,12.46,1
34,E02000035,Barnet 012,28,194,13.24,1
35,E02000036,Barnet 013,103,378,16.25,1
36,E02000037,Barnet 014,52,261,11.26666667,1
37,E02000038,Barnet 015,57,354,15.81666667,1
38,E02000039,Barnet 016,25,148,10.55,1
39,E02000040,Barnet 017,43,227,15.725,0
40,E02000041,Barnet 018,54,272,18.54,1
41,E02000042,Barnet 019,41,291,14.88333333,1
42,E02000043,Barnet 020,21,273,7.4,0
43,E02000044,Barnet 021,73,341,23.84,1
44,E02000045,Barnet 022,66,370,20.13333333,1
45,E02000046,Barnet 023,27,162,12.425,2
46,E02000047,Barnet 024,130,505,26.31666667,1
47,E02000048,Barnet 025,52,291,12.48,1
48,E02000049,Barnet 026,114,457,35.84,0
49,E02000050,Barnet 027,64,360,18.21666667,0
50,E02000051,Barnet 028,35,213,10.26,1
51,E02000052,Barnet 029,34,285,12.23333333,1
52,E02000053,Barnet 030,97,428,20.28,1
53,E02000054,Barnet 031,43,187,16.45,1
54,E02000055,Barnet 032,50,273,15.53333333,1
55,E02000056,Barnet 033,19,153,8.116666667,1
56,E02000057,Barnet 034,46,255,13.85,1
57,E02000058,Barnet 035,31,267,10.08333333,1
58,E02000059,Barnet 036,74,329,22.35,1
59,E02000060,Barnet 037,61,371,15.25,0
60,E02000061,Barnet 038,17,110,13.76,1
61,E02000062,Barnet 039,61,228,33.425,1
62,E02000063,Barnet 040,64,279,22.85,0
63,E02000064,Barnet 041,40,152,22.325,1
64,E02000065,Bexley 001,139,461,20.7,0
65,E02000066,Bexley 002,141,453,28.73333333,0
66,E02000067,Bexley 003,112,432,25.5,1
67,E02000068,Bexley 004,92,318,28.075,1
68,E02000069,Bexley 005,50,206,19.375,0
69,E02000070,Bexley 006,63,257,13.28,1
70,E02000071,Bexley 007,75,327,17.64,1
71,E02000072,Bexley 008,166,533,31.78571429,0
72,E02000073,Bexley 009,75,366,8.342857143,1
73,E02000074,Bexley 010,87,342,29.84,0
74,E02000075,Bexley 011,53,247,9.18,1
75,E02000077,Bexley 013,58,287,12.4,0
76,E02000078,Bexley 014,38,245,10.42,1
77,E02000079,Bexley 015,54,249,12.98,2
78,E02000080,Bexley 016,87,365,11.5,2
79,E02000081,Bexley 017,49,271,16.24,1
80,E02000082,Bexley 018,53,292,8.833333333,1
81,E02000083,Bexley 019,91,434,21.5,1
82,E02000084,Bexley 020,53,329,9.1,1
83,E02000085,Bexley 021,44,221,11.5,1
84,E02000086,Bexley 022,46,230,7.5,1
85,E02000087,Bexley 023,35,222,7.7,0
86,E02000088,Bexley 024,27,189,8.98,1
87,E02000089,Bexley 025,55,254,7.92,0
88,E02000090,Bexley 026,29,209,11.28,1
89,E02000091,Bexley 027,39,243,12.45,1
90,E02000092,Bexley 028,59,231,30.7,1
