streetnumid,burglary,distance,connectivity,choiceq,integq,totalhouses
1,0,277.938,3,3,1,14
2,1,384.077,6,3,2,32
3,3,382.129,4,3,2,39
4,0,138.704,4,3,1,10
5,2,241.3,5,3,1,20
6,0,138.071,1,1,1,5
7,1,170.708,10,3,1,9
8,0,139.797,5,3,1,12
9,0,142.727,4,2,1,8
10,3,148.824,2,2,1,7
11,0,368.371,16,4,2,24
12,0,119.796,6,3,1,4
13,1,202.301,2,1,1,13
14,0,164.726,2,1,1,10
15,0,116.402,5,2,1,2
16,0,116.746,3,2,1,7
17,0,370.885,15,4,2,20
18,0,128.149,2,2,1,4
19,0,127.618,2,2,1,12
20,0,127.388,2,2,1,10
21,3,130.861,6,2,1,15
22,1,132.504,4,2,1,16
23,1,132.803,2,2,1,11
24,0,120.853,2,2,1,5
25,0,233.165,5,3,1,9
26,1,230.517,6,3,1,23
27,3,228.443,5,3,1,21
28,7,268.33,8,3,2,22
29,1,255.234,8,4,2,22
30,4,371.744,19,4,2,23
31,6,111.781,3,3,1,12
32,0,87.215,4,2,1,7
33,4,196.691,8,4,2,19
34,7,388.177,12,4,3,24
35,0,61.83,1,1,2,5
36,0,178.635,5,3,2,13
37,0,98.821,1,1,1,11
38,0,392.865,11,4,2,23
39,0,37.848,1,1,1,4
40,1,147.396,3,2,1,9
41,0,479.495,5,3,2,26
42,0,146.405,3,2,1,13
43,0,125.346,7,4,2,12
44,18,333.511,4,3,1,35
45,0,164.556,5,3,1,15
46,5,336.986,14,4,2,26
47,3,76.556,3,3,1,4
48,0,44.227,1,1,1,4
49,0,144.655,1,1,1,11
50,0,355.95,3,1,4,5
51,0,687.401,8,4,4,23
52,0,380.814,2,3,3,15
53,0,104.187,1,1,2,4
54,0,418.621,5,4,4,8
55,0,600.514,4,3,3,19
56,0,423.595,6,4,3,5
57,0,366.62,2,2,2,15
58,0,876.478,6,4,4,35
59,0,264.991,2,1,3,8
60,0,224.612,1,1,2,6
61,0,701.069,4,3,4,35
62,0,178.335,4,3,4,10
63,0,124.986,1,1,2,2
64,0,675.978,9,4,3,19
65,0,263.607,5,4,4,10
66,0,265.61,3,3,3,13
67,0,439.238,4,2,2,24
68,0,391.354,2,1,2,32
69,0,350.998,4,4,3,3
70,0,92.669,1,1,3,6
71,0,124.375,1,1,1,1
72,0,94.788,3,1,1,6
73,0,156.504,5,3,2,13
74,0,243.298,5,2,2,5
75,0,459.981,5,4,3,4
76,0,404.746,4,3,3,22
77,1,889.818,10,4,4,35
78,3,606.391,15,4,4,24
79,1,505.346,12,4,3,19
80,0,103.803,6,3,1,10
81,0,79.881,5,2,1,4
82,3,67.275,2,2,1,5
83,0,120.677,8,3,1,9
84,0,201.277,13,4,1,19
85,0,344.306,17,4,2,28
86,0,50.931,2,2,1,6
87,0,62.074,3,2,1,3
88,0,71.147,4,2,1,7
89,0,85.416,7,3,1,7
90,0,65.265,5,3,1,7
91,1,101.952,7,4,1,9
92,0,103.283,9,3,1,6
93,0,57.021,3,2,1,2
94,0,67.391,3,3,1,6
95,0,54.475,3,2,1,5
96,0,92.914,6,2,1,4
97,0,79.451,5,2,1,4
98,0,155.113,7,3,1,9
99,0,162.874,8,4,2,12
100,3,93.274,3,2,1,6
101,0,74.442,3,3,2,2
102,1,182.678,7,3,2,13
103,0,281.383,13,4,2,20
104,0,103.899,2,2,1,5
105,4,236.682,10,3,2,18
106,0,101.071,7,2,2,4
107,0,91.879,2,1,2,3
108,0,443.755,20,4,3,14
109,8,185.565,5,3,2,11
110,1,180.436,2,2,2,7
111,0,169.736,2,2,2,7
112,0,26.779,1,1,2,1
113,0,56.261,1,1,2,3
114,2,48.177,1,1,2,3
115,4,386.255,9,4,3,28
116,1,97.388,1,1,1,5
117,5,218.936,11,3,1,13
118,1,129.952,1,1,1,7
119,7,220.514,2,2,1,23
120,4,387.63,13,4,3,27
121,1,36.729,1,1,1,2
122,0,37.936,1,1,1,2
123,1,128.415,3,2,1,5
124,0,146.126,6,4,1,2
125,8,127.125,2,1,1,6
126,14,199.546,9,3,1,8
127,0,329.08,12,3,1,13
128,0,130.316,2,2,1,13
129,4,77.455,8,3,1,5
130,0,87.024,4,1,1,4
131,0,71.75,3,2,1,4
132,0,83.334,3,2,1,9
133,3,221.831,9,4,1,25
134,0,58.881,3,3,1,5
135,0,71.521,3,3,1,6
136,0,196.685,3,3,1,15
137,0,158.105,5,3,1,10
138,0,51.843,6,2,1,2
139,0,444.493,16,4,1,16
140,16,455.638,20,4,4,19
141,0,133.053,2,1,3,25
142,0,175.109,6,4,3,13
143,0,40.087,1,1,1,4
144,0,241.967,4,1,3,18
145,0,116.352,1,1,3,4
146,2,588.232,15,4,4,25
147,3,316.549,5,3,2,19
148,0,253.779,2,2,3,19
149,0,257.963,3,3,3,16
150,0,102.512,1,1,2,5
151,0,190.17,1,1,1,20
152,0,191.687,1,1,1,15
153,0,317.37,5,3,2,20
154,3,311.852,5,2,2,16
155,1,86.171,4,2,2,5
156,3,338.711,6,3,3,21
157,2,86.251,2,2,2,2
