"country_name","country_id","year","year_id","basic_water","basic_sanitation","gdp","rainfall","temperature","population","cholera"
"Benin",1,2000,1,-0.603167835598956,1.3182154634032,1.76,80.6,27.73,6865951,468
"Benin",1,2001,2,-0.626437835150535,1.2805107306766,1.84,69.89,27.9,7076733,3943
"Benin",1,2002,3,-0.6504350221881,1.24092076131366,1.9,86.41,27.94,7295394,270
"Benin",1,2003,4,-0.675886584197639,1.19850293699623,1.94,100.95,28.06,7520555,434
"Benin",1,2004,5,-0.700610958721192,1.15514249436064,2.02,88,27.9,7750004,642
"Benin",1,2005,6,-0.725335333244744,1.10989681508871,2.05,82.59,28.22,7982225,749
"Benin",1,2006,7,-0.748605332796322,1.06370851749862,2.14,82.61,28.12,8216897,91
"Benin",1,2007,8,-0.771875332347901,1.01657760159037,2.26,95.06,27.98,8454793,1154
"Benin",1,2008,9,-0.794418144413493,0.967561449045783,2.35,100.23,27.79,8696921,985
"Benin",1,2009,10,-0.816960956479085,0.917602678183033,2.35,92.28,28.18,8944708,74
"Benin",1,2010,11,-0.838049393572702,0.866701289002116,2.36,95.34,28.32,9199259,983
"Benin",1,2011,12,-0.859137830666321,0.814857281503036,2.42,77.07,28.06,9460830,755
"Benin",1,2012,13,-0.879499080273952,0.761128037367624,2.5,85.36,27.9,9729248,624
"Benin",1,2013,14,-0.899860329881583,0.707398793232213,2.67,78.86,28.1,10004588,528
"Benin",1,2014,15,-0.91876720451724,0.651784312460473,2.83,86.41,28.22,10286842,832
"Benin",1,2015,16,-0.938401266638885,0.619735289642858,2.89,75.74,28.21,10575952,0
"Benin",1,2016,17,-0.956580953788556,0.587686266825245,3,78.97,28.42,10872067,761
"Benin",1,2017,18,-0.963125641162437,0.578260083643594,3.04,81.32,25.68,11175204,11
"Burundi",2,2000,1,0.18219464926682,-2.13271019939925,0.53,90.68,20.84,6378871,1021
"Burundi",2,2001,2,0.140744962565571,-2.15250518408072,0.54,115,21.05,6525545,1003
"Burundi",2,2002,3,0.0985680883783344,-2.17230016876219,0.55,105.19,21.26,6704113,577
"Burundi",2,2003,4,0.0563912141910985,-2.19303777176182,0.54,106.53,21.42,6909154,432
"Burundi",2,2004,5,0.0142143400038621,-2.19492300839815,0.57,94.11,21.25,7131693,819
"Burundi",2,2005,6,-0.0279625341833738,-2.19680824503448,0.57,89.67,21.59,7364862,1309
"Burundi",2,2006,7,-0.0708665958565969,-2.19775086335264,0.6,113.15,20.85,7607849,886
"Burundi",2,2007,8,-0.11377065752982,-2.19869348167081,0.62,108.5,20.71,7862214,365
"Burundi",2,2008,9,-0.15740190668903,-2.19963609998898,0.64,99.71,20.58,8126102,234
"Burundi",2,2009,10,-0.200305968362252,-2.20057871830714,0.64,103.76,21.22,8397668,355
"Burundi",2,2010,11,-0.243937217521462,-2.20057871830714,0.66,105.95,21.09,8675602,333
"Burundi",2,2011,12,-0.288295654166659,-2.20057871830714,0.68,132.26,20.61,8958406,1072
"Burundi",2,2012,13,-0.332654090811856,-2.19963609998898,0.69,78,20.82,9245988,214
"Burundi",2,2013,14,-0.377012527457052,-2.19869348167081,0.74,108.32,20.78,9540289,0
"Burundi",2,2014,15,-0.421370964102249,-2.19775086335264,0.78,104.1,20.84,9844297,582
"Burundi",2,2015,16,-0.466456588233432,-2.19586562671631,0.84,108.4,20.77,10160030,442
"Burundi",2,2016,17,-0.511542212364616,-2.19303777176182,0.8,120.43,21.21,10487998,434
"Burundi",2,2017,18,-0.557355023981786,-2.19020991680732,0.77,81.32,25.68,10827024,399
"DRC",3,2000,1,1.39950650080877,0.111664016151866,0.45,118.88,24.36,47105826,14995
"DRC",3,2001,2,1.3595111890795,0.128631145878838,0.44,115.77,24.63,48428545,5728
"DRC",3,2002,3,1.31951587735022,0.144655657287645,0.44,134.47,24.76,49871666,31658
"DRC",3,2003,4,1.27952056562095,0.161622787014617,0.46,116.11,24.77,51425580,27272
"DRC",3,2004,5,1.23952525389167,0.177647298423424,0.49,110.39,24.8,53068880,7665
"DRC",3,2005,6,1.19952994216239,0.194614428150395,0.52,112.05,25.07,54785903,13430
"DRC",3,2006,7,1.15880744294713,0.194614428150395,0.55,135.36,24.67,56578037,20642
"DRC",3,2007,8,1.11735775624588,0.194614428150395,0.58,126.05,24.66,58453683,28269
"DRC",3,2008,9,1.07663525703062,0.195557046468561,0.6,124.11,24.48,60411195,30150
"DRC",3,2009,10,1.03518557032937,0.195557046468561,0.6,127.69,24.78,62448574,22899
"DRC",3,2010,11,0.993735883628122,0.196499664786726,0.63,123.16,24.94,64563854,13884
"DRC",3,2011,12,0.951559009440886,0.197442283104891,0.67,127.75,24.38,66755153,21700
"DRC",3,2012,13,0.910109322739637,0.198384901423056,0.67,123.17,24.36,69020747,33661
"DRC",3,2013,14,0.8679324485524,0.199327519741221,0.75,127.86,24.56,71358807,26944
"DRC",3,2014,15,0.825755574365164,0.200270138059386,0.85,122.61,24.5,73767447,22203
"DRC",3,2015,16,0.783578700177928,0.202155374695716,0.91,125.14,24.59,76244544,19182
"DRC",3,2016,17,0.740674638504706,0.203097993013881,0.96,128.19,24.91,78789127,28093
"DRC",3,2017,18,0.721767763869048,0.200270138059386,1.06,81.32,25.68,81398764,56190
"Ghana",4,2000,1,-0.821324081395005,1.32198593667586,1.77,87.77,27.51,19278856,3331
"Ghana",4,2001,2,-0.886043767647833,1.31161713517605,2.29,85.03,27.62,19756928,5487
"Ghana",4,2002,3,-0.958762516246516,1.2588305093588,2.24,99.34,27.67,20246381,3614
"Ghana",4,2003,4,-1.0314812648452,1.20604388354155,2.2,102.39,27.72,20750299,204
"Ghana",4,2004,5,-1.10420001344388,1.15231463940614,2.24,93.9,27.61,21272323,407
"Ghana",4,2005,6,-1.17619157455658,1.09764277695257,2.3,92.45,27.9,21814642,3166
"Ghana",4,2006,7,-1.24963751064125,1.04297091449899,2.35,92.27,27.75,22379055,3357
"Ghana",4,2007,8,-1.32235625923993,0.986413815409085,2.41,107.99,27.73,22963946,179
"Ghana",4,2008,9,-1.39507500783861,0.929856716319179,2.46,110.55,27.43,23563825,1223
"Ghana",4,2009,10,-1.46852094392328,0.872356998911107,2.5,102.19,27.78,24170940,1297
"Ghana",4,2010,11,-1.54123969252197,0.813914663184871,2.97,106.15,28.1,24779619,438
"Ghana",4,2011,12,-1.61468562860664,0.755472327458633,3.38,94.17,27.77,25387710,10628
"Ghana",4,2012,13,-1.68813156469131,0.695144755096067,3.78,100.4,27.54,25996449,9548
"Ghana",4,2013,14,-1.76157750077598,0.6348171827335,5.26,89.19,27.73,26607642,50
"Ghana",4,2014,15,-1.83575062434663,0.574489610370933,5.45,98.97,27.85,27224472,28944
"Ghana",4,2015,16,-1.9091965604313,0.512276801372036,5.12,82.54,27.97,27849205,692
"Ghana",4,2016,17,-1.98336968400196,0.450063992373139,4.89,98.19,28.22,28481946,175
"Ghana",4,2017,18,-2.05681562008663,0.387851183374243,5,81.32,25.68,29121471,0
"Ivory Coast",5,2000,1,-1.27945219756671,0.149368748878471,2.29,109.13,26.51,16454668,0
"Ivory Coast",5,2001,2,-1.29036000985651,0.109778779515536,1.27,118.89,26.65,16853026,5912
"Ivory Coast",5,2002,3,-1.30054063466033,0.069246191834436,1.33,107.69,26.82,17231539,4188
"Ivory Coast",5,2003,4,-1.31072125946414,0.0296562224715017,1.35,123,26.8,17599610,1034
"Ivory Coast",5,2004,5,-1.32090188426796,-0.00993374689143255,1.39,112.34,26.78,17970494,105
"Ivory Coast",5,2005,6,-1.33035532158579,-0.0730891742084951,1.44,106.39,26.96,18354514,39
"Ivory Coast",5,2006,7,-1.33980875890361,-0.136244601525557,1.47,119.42,26.74,18754916,414
"Ivory Coast",5,2007,8,-1.34926219622144,-0.201285265478949,1.58,113.34,26.88,19171237,8
"Ivory Coast",5,2008,9,-1.35871563353927,-0.267268547750507,1.64,117.31,26.39,19605569,156
"Ivory Coast",5,2009,10,-1.36744188337111,-0.334194448340229,1.6,120.47,26.86,20059147,5
"Ivory Coast",5,2010,11,-1.37616813320296,-0.401120348929952,2.52,144.89,27.17,20532950,5
"Ivory Coast",5,2011,12,-1.3848943830348,-0.469931486156004,2.4,112.26,26.8,21028655,0
"Ivory Coast",5,2012,13,-1.39362063286664,-0.539685241700223,2.63,107.66,26.51,21547188,1261
"Ivory Coast",5,2013,14,-1.4016196952125,-0.60943899724444,2.83,93.12,26.77,22087505,424
"Ivory Coast",5,2014,15,-1.40961875755835,-0.681077989424989,3.13,126.98,26.79,22647683,56
"Ivory Coast",5,2015,16,-1.41689063241822,-0.752716981605536,4.65,93.28,26.98,23226143,235
"Ivory Coast",5,2016,17,-1.42488969476407,-0.826241210422415,4.73,109.07,27.25,23822714,199
"Ivory Coast",5,2017,18,-1.43288875710993,-0.899765439239293,4.83,81.32,25.68,24437469,0
"Kenya",6,2000,1,0.425075269586421,-1.0373877136914,1.62,37.38,24.9,31964557,1157
"Kenya",6,2001,2,0.371990583109382,-1.02513367555525,1.67,51.88,25.1,32848564,1001
"Kenya",6,2002,3,0.319633084118331,-0.996855126010299,1.66,65.07,25.48,33751739,291
"Kenya",6,2003,4,0.267275585127279,-0.968576576465346,1.69,51.4,25.45,34678779,1154
"Kenya",6,2004,5,0.215645273622214,-0.940298026920393,1.78,46.05,25.31,35635271,870
"Kenya",6,2005,6,0.164014962117149,-0.912962095693605,1.89,36.22,25.33,36624895,816
